bag,group,count,mean,std,min,max,mean_abs_error
Left slow 1,Left slow,1487,1.017789,0.915348,0.380805,6.003168,0.449991
Left slow 2,Left slow,1436,1.081271,1.047910,0.416956,6.614757,0.513114
Left slow 3,Left slow,1426,1.058644,0.985861,0.422559,6.150757,0.489718
Left fast 1,Left fast,934,1.009348,0.639539,0.417163,5.612180,0.433501
Left fast 2,Left fast,895,1.077135,1.017721,0.414566,13.014831,0.502044
Left fast 3,Left fast,885,1.017473,0.813208,0.270544,5.703431,0.454410
Right slow 2,Right slow,1454,1.148903,1.183452,0.474608,13.645556,0.571216
Right slow 3,Right slow,1420,1.133012,1.273446,0.476457,18.816618,0.553029
Right slow 4,Right slow,1421,1.256399,1.739449,0.441194,18.909977,0.681436
Right fast 1,Right fast,1061,1.056191,1.152548,0.156940,10.029672,0.519925
Right fast 5,Right fast,852,1.206946,1.599628,0.144657,17.691324,0.666707
Right fast 6,Right fast,902,1.218501,1.395267,0.172550,14.537695,0.666954
