bag,method,side,aggregation,count,mean,std,min,max,mean_abs_error
straight_inward_ansis_left_1,muktha,left,per_bag,929,0.791783,0.278719,0.588304,1.376522,0.191982
straight_inward_ansis_left_2,muktha,left,per_bag,907,0.774465,0.264164,0.609769,1.373355,0.174465
straight_inward_ansis_left_3,muktha,left,per_bag,916,0.779207,0.271395,0.591676,1.371716,0.179500
straight_inward_ansis_right_1,muktha,right,per_bag,371,0.819112,0.626109,0.147887,1.571530,0.614666
straight_inward_ansis_right_2,muktha,right,per_bag,549,0.971297,0.431520,0.239464,1.547286,0.445143
straight_inward_ansis_right_3,muktha,right,per_bag,572,0.987511,0.417942,0.238702,1.540569,0.445332
straight_inward_jeryl_left_1,muktha,left,per_bag,973,0.759483,0.297810,0.546449,1.372735,0.165957
straight_inward_jeryl_left_2,muktha,left,per_bag,1000,0.798996,0.326403,0.565201,1.375969,0.205373
straight_inward_jeryl_left_3,muktha,left,per_bag,1038,0.792230,0.320914,0.552741,1.370166,0.198458
straight_inward_jeryl_right_1,muktha,right,per_bag,652,1.153767,0.549770,0.499796,2.267315,0.589729
straight_inward_jeryl_right_2,muktha,right,per_bag,561,1.085923,0.537144,0.498908,2.164748,0.514037
straight_inward_jeryl_right_3,muktha,right,per_bag,624,1.152983,0.549170,0.506816,2.245356,0.583277
straight_inward_muktha_left_1,muktha,left,per_bag,864,0.894763,0.235384,0.700023,1.373846,0.294763
straight_inward_muktha_left_2,muktha,left,per_bag,896,0.915655,0.246524,0.704205,1.378666,0.315655
straight_inward_muktha_left_3,muktha,left,per_bag,926,0.937102,0.259456,0.700263,1.375175,0.337102
straight_inward_muktha_right_1,muktha,right,per_bag,571,1.126125,0.334377,0.607875,1.570138,0.526125
straight_inward_muktha_right_2,muktha,right,per_bag,612,1.095061,0.337747,0.633700,1.546140,0.495061
straight_inward_muktha_right_3,muktha,right,per_bag,497,1.076014,0.331345,0.616328,1.556441,0.476014
straight_inward_tissany_left_1,muktha,left,per_bag,946,0.889177,0.269165,0.661375,1.376587,0.289177
straight_inward_tissany_left_2,muktha,left,per_bag,946,0.923954,0.290858,0.657490,1.378465,0.323954
straight_inward_tissany_left_3,muktha,left,per_bag,917,0.841451,0.223265,0.653945,1.373586,0.241451
straight_inward_tissany_right_1,muktha,right,per_bag,527,1.082663,0.349888,0.647062,1.589246,0.482663
straight_inward_tissany_right_2,muktha,right,per_bag,460,1.046507,0.348030,0.652112,1.565303,0.446507
straight_inward_tissany_right_3,muktha,right,per_bag,544,1.103960,0.364754,0.649861,1.566534,0.503960
straight_inward_ansis_left (3 runs),muktha,left,3_runs,2752,0.781889,0.271648,0.588304,1.376522,0.182054
straight_inward_ansis_right (3 runs),muktha,right,3_runs,1492,0.939671,0.487670,0.147887,1.571530,0.487369
straight_inward_jeryl_left (3 runs),muktha,left,3_runs,3011,0.783895,0.315972,0.546449,1.375969,0.190252
straight_inward_jeryl_right (3 runs),muktha,right,3_runs,1837,1.132782,0.546624,0.498908,2.267315,0.564421
straight_inward_muktha_left (3 runs),muktha,left,3_runs,2686,0.916329,0.248197,0.700023,1.378666,0.316329
straight_inward_muktha_right (3 runs),muktha,right,3_runs,1680,1.099984,0.335331,0.607875,1.570138,0.499984
