bag,run_id,confidence_source,published_msgs,publish_rate_hz,particle_msgs,converged,convergence_time_s,post_convergence_confidence,min_confidence
corridor1,1,particles,1793,90.007950,797,True,2.013225,0.095041,0.046984
corridor1,2,odom_jitter,959,50.037724,0,True,1.977460,0.034272,0.002257
corridor1,3,odom_jitter,941,49.998093,0,True,2.007067,0.017616,0.006469
corridor2,1,odom_jitter,616,50.000850,0,True,1.975687,0.037006,0.001766
corridor2,2,odom_jitter,616,50.072159,0,True,1.977331,0.019362,0.002972
corridor2,3,odom_jitter,617,50.087814,0,True,1.999641,0.045448,0.003274
corridor3,1,odom_jitter,1371,50.019072,0,True,1.980512,0.026753,0.001399
corridor3,2,odom_jitter,1371,49.998410,0,True,1.993709,0.036286,0.000994
corridor3,3,odom_jitter,1372,50.035111,0,True,1.978309,0.017742,0.002918
corridor4,1,odom_jitter,1018,50.036875,0,True,2.001204,0.029343,0.002767
corridor4,2,odom_jitter,1019,50.043508,0,True,1.980101,0.039277,0.003731
corridor4,3,particles,1964,90.159215,873,True,2.004606,0.114539,0.047791
