bag,run_id,confidence_source,published_msgs,publish_rate_hz,particle_msgs,converged,convergence_time_s,post_convergence_confidence,min_confidence
corridor1,1,odom_jitter,959,50.019589,0,True,1.981556,0.018060,0.003127
corridor1,2,odom_jitter,925,50.001683,0,True,1.973991,0.016850,0.004600
corridor1,3,odom_jitter,942,50.002920,0,True,1.982949,0.025470,0.006178
corridor2,1,odom_jitter,616,50.031965,0,True,1.981135,0.015312,0.001628
corridor2,2,odom_jitter,618,50.074700,0,True,1.984738,0.019299,0.002123
corridor2,3,odom_jitter,616,49.956918,0,True,1.977528,0.029757,0.002438
corridor3,1,odom_jitter,1363,50.007516,0,True,1.973840,0.014133,0.001163
corridor3,2,particles,2546,89.871420,1134,True,2.017119,0.111830,0.033052
corridor3,3,odom_jitter,1364,50.039108,0,True,1.993272,0.021417,0.001302
corridor4,1,odom_jitter,1020,50.034003,0,True,1.981510,0.018941,0.002182
corridor4,2,odom_jitter,1020,50.011789,0,True,1.980013,0.014512,0.002659
corridor4,3,odom_jitter,1019,50.000886,0,True,1.976642,0.037663,0.002492
