factor,setting,bag,runs,mean_publish_rate_hz,std_publish_rate_hz,min_publish_rate_hz,max_publish_rate_hz
variance_scale,0.500,corridor1,2,316.669952,0.218259,316.451693,316.888211
variance_scale,0.500,corridor2,3,50.070938,0.016056,50.050348,50.089523
variance_scale,0.500,corridor3,3,76.664709,18.870187,49.978450,90.100726
variance_scale,0.500,corridor4,3,50.022338,0.014260,50.006058,50.040785
variance_scale,0.500,ALL,11,105.783078,100.542999,49.978450,316.888211
variance_scale,1.000,corridor1,3,50.043179,0.006980,50.033647,50.050167
variance_scale,1.000,corridor2,3,50.025880,0.023227,49.997286,50.054177
variance_scale,1.000,corridor3,3,63.339556,18.879053,49.974908,90.038562
variance_scale,1.000,corridor4,3,63.351843,18.864604,50.010313,90.030421
variance_scale,1.000,ALL,12,56.690114,14.912075,49.974908,90.038562
variance_scale,2.000,corridor1,3,63.379304,18.896705,50.009914,90.103280
variance_scale,2.000,corridor2,3,50.043628,0.045031,49.989706,50.099933
variance_scale,2.000,corridor3,3,62.712167,17.962836,49.986785,88.115439
variance_scale,2.000,corridor4,3,50.031796,0.012729,50.021247,50.049702
variance_scale,2.000,ALL,12,56.541724,14.570368,49.986785,90.103280
num_particles,50,corridor1,3,63.347922,18.851493,49.998093,90.007950
num_particles,50,corridor2,3,50.053608,0.037849,50.000850,50.087814
num_particles,50,corridor3,3,50.017531,0.015023,49.998410,50.035111
num_particles,50,corridor4,3,63.413199,18.912289,50.036875,90.159215
num_particles,50,ALL,12,56.708065,14.926040,49.998093,90.159215
num_particles,100,corridor1,3,63.360832,18.867082,49.997404,90.042903
num_particles,100,corridor2,3,76.710321,18.867656,50.028110,90.216929
num_particles,100,corridor3,3,50.004926,0.013228,49.987984,50.020268
num_particles,100,corridor4,3,50.030418,0.022738,49.998413,50.049118
num_particles,100,ALL,12,60.026624,17.333329,49.987984,90.216929
num_particles,200,corridor1,3,63.302206,18.783029,50.014852,89.865419
num_particles,200,corridor2,3,63.409333,18.886881,50.034572,90.119407
num_particles,200,corridor3,3,50.030254,0.008663,50.022720,50.042388
num_particles,200,corridor4,3,50.025763,0.007273,50.017319,50.035072
num_particles,200,ALL,12,56.691889,14.892545,50.014852,90.119407
num_rays,50,corridor1,3,63.382979,18.899081,50.011550,90.110314
num_rays,50,corridor2,3,50.041316,0.030627,49.998681,50.069249
num_rays,50,corridor3,3,50.005699,0.016003,49.984006,50.022133
num_rays,50,corridor4,3,63.357130,18.878311,49.990174,90.055084
num_rays,50,ALL,12,56.696781,14.930659,49.984006,90.110314
num_rays,99,corridor1,3,50.042082,0.008439,50.032499,50.053034
num_rays,99,corridor2,3,63.428679,18.919369,50.049443,90.184707
num_rays,99,corridor3,3,50.024171,0.007718,50.017990,50.035053
num_rays,99,corridor4,3,50.028396,0.012471,50.011943,50.042125
num_rays,99,ALL,12,53.380832,11.096793,50.011943,90.184707
num_rays,150,corridor1,3,50.008064,0.008165,50.001683,50.019589
num_rays,150,corridor2,3,50.021194,0.048683,49.956918,50.074700
num_rays,150,corridor3,3,63.306015,18.784583,50.007516,89.871420
num_rays,150,corridor4,3,50.015559,0.013780,50.000886,50.034003
num_rays,150,ALL,12,53.337708,11.015362,49.956918,89.871420
stress,2000p10r,corridor1,3,50.051548,0.011093,50.037493,50.064611
stress,2000p10r,corridor2,3,50.061717,0.015460,50.049698,50.083543
stress,2000p10r,corridor3,3,50.027854,0.010254,50.015786,50.040851
stress,2000p10r,corridor4,3,50.022509,0.003807,50.019590,50.027886
stress,2000p10r,ALL,12,50.040907,0.019601,50.015786,50.083543
